ファイル名,正解_穴有無,予測_穴有無,判定_穴有無,暗部(絶対),暗部(平坦化),正解_穴ズレ,予測_穴ズレ,判定_穴ズレ,ズレ距離(px),コイン半径,総合判定
50yen_001.jpeg,1,1,OK,5213,64,0,0,OK,0.0,155,OK
50yen_002.jpeg,1,0,NG,354,19,0,0,OK,0.0,120,NG
50yen_003.jpeg,1,0,NG,2366,18,0,0,OK,0.0,96,NG
50yen_004.jpeg,1,1,OK,4812,62,0,0,OK,0.0,100,OK
50yen_005.jpeg,1,1,OK,6252,57,0,0,OK,0.0,117,OK
50yen_006.jpeg,1,0,NG,5847,31,0,0,OK,0.0,120,NG
50yen_007.jpeg,1,0,NG,1146,9,1,0,NG,0.0,74,NG
50yen_008.jpeg,1,0,NG,4130,13,0,0,OK,0.0,102,NG
50yen_009.jpeg,1,0,NG,1541,32,0,0,OK,0.0,96,NG
50yen_010.jpeg,1,0,NG,15732,26,1,0,NG,0.0,220,NG
50yen_011.jpeg,0,0,OK,500,24,0,0,OK,0.0,141,OK
50yen_012.jpeg,0,0,OK,178,15,0,0,OK,0.0,148,OK
50yen_013.jpeg,1,1,OK,1648,45,0,0,OK,0.0,77,OK
50yen_014.jpeg,1,1,OK,14680,73,0,0,OK,0.0,174,OK
